排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,点赞数,投币数,收藏数,分享数,弹幕数,评论数,深度互动比(币+藏/赞),互动密度,收藏率,粉丝转化率,分享率,深度互动得分,互动密度得分,收藏率得分,转化率得分,分享率得分,视频年龄(小时),发布时间,价值综合评分
66,544755544,平替不是抄袭遮羞布! 几千vs几十 真假网红裙PK｜网红裙到底值在哪里? 正山对比,5485771,鹦鹉梨,1968595,3056000,133148,27368,38989,12315,8407,9003,0.4984,0.0395,0.0071,1.8,0.0022,0.0381,0.1872,0.158,0.0013,0.1212,46727.66,2021-03-25 13:00:03,0.104
67,1801723188,男生网上买衣服，关键词怎样搜才不会踩雷！,9319845,哈喽先生的潮流社,3546560436636301,0,325405,7966,85030,1913,0,55,0.2858,0.0449,0.0091,0,0.0002,0.0219,0.2126,0.2028,0.0,0.0111,20727.45,2024-03-12 21:12:25,0.1025
68,1406482147,赶快倒闭！现在的女装店铺都是什么畸形审美？真是不要太恶心！,5233893,靓仔董米粒,558215888,0,47246,10888,49023,701,3578,1802,1.2681,0.0215,0.0094,0,0.0001,0.097,0.1018,0.2082,0.0,0.0072,17609.38,2024-07-20 19:16:39,0.1018
69,215696148,模 特 受 难 鞋,4412153,萌德-,24979808,155000,109360,2252,41020,2772,3644,2531,0.3957,0.036,0.0093,28.47,0.0006,0.0303,0.1704,0.2067,0.02,0.0339,35445.74,2022-07-08 14:55:06,0.0999
70,740750654,嫁到农村不用可怜我，我过的很快乐。,4513022,是宁心如,2107428051,0,312528,5561,10383,620,260,1533,0.051,0.0732,0.0023,0,0.0001,0.0039,0.3465,0.0511,0.0,0.0074,28168.86,2023-05-07 19:47:59,0.099
71,596136940,摆脱春夏内衣“闷热”！与内衣和解，小胸显大不空杯！,22790190,小格子n,457226461,0,403600,27504,217966,26516,961,1459,0.6082,0.0286,0.0096,0,0.0012,0.0465,0.1354,0.2126,0.0,0.0628,37027.49,2022-05-03 17:09:56,0.0989
72,116581887640996,宝，这就是宫里的体面工作1？,5380105,橘橘是钢铁直男,3546906565282006,0,276787,7668,23311,7895,1643,2320,0.1119,0.0579,0.0043,0,0.0015,0.0086,0.2743,0.0963,0.0,0.0792,1658.01,2026-05-16 10:38:51,0.0988
73,1100587435,原来幼稚的衣服设计师也是有用心啊,4652379,账号已注销,3494367549458593,0,326766,1534,8452,3511,127,643,0.0306,0.0725,0.0018,0,0.0008,0.0023,0.3435,0.0404,0.0,0.0408,21399.58,2024-02-13 21:04:40,0.0988
74,116717514656663,闪购外卖Lolita，让广告来得更猛一些...！,5222602,月亮猹-,421178217,0,82198,14962,44989,4749,1095,2443,0.7293,0.0279,0.0086,0,0.0009,0.0558,0.1321,0.1915,0.0,0.0491,1074.66,2026-06-09 18:00:00,0.0958
75,318297884,娶川渝女人，享幸福人生。,6400511,陈景烁Studio,107817408,150000,188658,9086,33836,17375,2284,3693,0.2275,0.0371,0.0053,42.67,0.0027,0.0174,0.1757,0.1175,0.03,0.1466,25152.31,2023-09-10 12:20:53,0.0912
76,114046984524429,随机生成穿搭挑战｜ 穿成这样去见男朋友的父母可以吗？,5719346,s大野丽莎,21013374,0,280316,6059,21822,3773,1370,1830,0.0995,0.0544,0.0038,0,0.0007,0.0076,0.2578,0.0848,0.0,0.0356,12402.41,2025-02-22 18:14:54,0.0876
77,116000003459986,能让裙子一秒遇光变色？是什么神奇的染料？,5858257,胡米米的随手一做,666685038,0,51269,1843,48886,88,39,119,0.9895,0.0174,0.0083,0,0.0,0.0757,0.0826,0.1855,0.0,0.0008,4099.66,2026-02-03 17:00:00,0.0843
78,116543685924393,当我花3000块买了四套真人芭比套装…,4964035,-小胡同学呀,262240557,0,66726,1509,43101,279,263,288,0.6686,0.0225,0.0087,0,0.0001,0.0512,0.1067,0.193,0.0,0.003,1820.08,2026-05-09 16:34:45,0.0835
79,400461819,黛玉骑鬼火，玉环醉卡座,5238541,我是扒皮呀,388771073,0,203878,3069,22692,7699,584,1233,0.1264,0.0442,0.0043,0,0.0015,0.0097,0.2092,0.0963,0.0,0.0794,28411.74,2023-04-27 16:55:00,0.0829
80,836805471,确实未曾想到！,4551880,搞笑滴小光,3546610900404894,0,188751,2126,12270,12062,386,751,0.0763,0.0449,0.0027,0,0.0026,0.0058,0.2125,0.0599,0.0,0.1431,21787.72,2024-01-28 16:56:10,0.0815
81,499680325,跟着迪丽热巴学穿搭,4728947,鞋Club,9978781,0,42688,1803,15728,32075,42,39,0.4107,0.0128,0.0033,0,0.0068,0.0314,0.0604,0.0739,0.0,0.3663,51205.37,2020-09-19 23:17:16,0.0775
82,619358349,救命！！！Cos符玄大人去漫展 居然遇到这种事？？？,5215237,小小的小兔团儿,27897180,0,116770,2720,36317,1202,810,688,0.3343,0.0302,0.007,0,0.0002,0.0256,0.1428,0.1548,0.0,0.0124,24528.82,2023-10-06 11:50:14,0.0769
83,558642090,明显右边更难做到,7441865,昔特乐ヽ,153987677,0,133866,3365,41777,17822,864,2322,0.3372,0.0245,0.0056,0,0.0024,0.0258,0.1159,0.1248,0.0,0.1293,33380.16,2022-10-02 16:29:46,0.0759
84,115101868821507,「水水」画卷里的人成精了？！,4783241,彼岸的水坑-,18668109,0,190575,2649,19216,716,77,658,0.1147,0.0446,0.004,0,0.0001,0.0088,0.211,0.0893,0.0,0.0081,7914.66,2025-08-28 18:00:00,0.0745
85,114447808991422,古代身高两米多的将军，八十斤的盔甲如何穿,4353604,武阵天王-杰哥,443344782,0,184912,1395,13363,1752,1453,5236,0.0798,0.0474,0.0031,0,0.0004,0.0061,0.2244,0.0682,0.0,0.0217,10703.54,2025-05-04 13:06:58,0.0741
86,115485144253586,这些穿搭都救过男生的命吗？,6122508,乱小世,2146925112,451000,149439,2097,34338,2319,2268,7119,0.2438,0.0319,0.0056,13.58,0.0004,0.0187,0.151,0.1247,0.0095,0.0205,6306.73,2025-11-03 17:55:48,0.0722
87,711873334,现在准备卷死他们！情人节送鞋指南，直男看了都会喜欢的鞋子！,8250151,鞋Club,9978781,0,133071,3221,27391,37595,56,110,0.23,0.0199,0.0033,0,0.0046,0.0176,0.094,0.0738,0.0,0.2461,52045.15,2020-08-15 23:30:05,0.069
88,236994638,身高175？不！其实你有190！！#190大帅哥 #正装男 #理想男友,5034423,钙星球,496187120,0,2389,155,5405,42,11,42,2.3273,0.0016,0.0011,0,0.0,0.1781,0.0075,0.0239,0.0,0.0005,23033.4,2023-12-07 19:15:38,0.069
89,115846139613655,传奇改造王珍妮佛梓，比良子逆天，比阿诺耐药,4779174,侦探许烦烦,32026774,0,124386,1294,17783,8407,2047,2621,0.1534,0.031,0.0037,0,0.0018,0.0117,0.1468,0.0827,0.0,0.095,4776.65,2026-01-06 12:00:31,0.0668
90,596958725,30秒拿捏品牌精髓 垫底辣孩的时尚感有多强 |奢侈品,4838712,优奢二手奢侈品,27821777,0,15509,1014,20033,36,15,47,1.3571,0.0076,0.0041,0,0.0,0.1038,0.0358,0.092,0.0,0.0004,36433.66,2022-05-28 11:00:00,0.0637
91,113242315690979,当你在国外展会吃了一块三文鱼,5496953,一个木枝,472493391,0,220733,1831,8935,1276,971,2700,0.0488,0.0428,0.0016,0,0.0002,0.0037,0.2026,0.0361,0.0,0.0125,15813.09,2024-10-03 15:34:12,0.0604
92,116458256400991,万万没想到…,5018756,是小帅子呀,397889029,0,18078,853,19017,40,41,41,1.0991,0.0076,0.0038,0,0.0,0.0841,0.0359,0.0842,0.0,0.0004,2182.18,2026-04-24 14:28:40,0.0553
93,788457794,娶川渝女人，享先礼后兵。,4377081,陈景烁Studio,107817408,150000,94657,3338,11966,3853,1993,2553,0.1617,0.0262,0.0027,29.18,0.0009,0.0124,0.1239,0.0608,0.0205,0.0475,25102.71,2023-09-12 13:57:02,0.0543
94,115400368986036,当你精心穿搭后出门逛街（路人视角）,6308724,是穗穗念呀,3546982486379292,0,159028,2583,14147,2856,2080,4959,0.1052,0.029,0.0022,0,0.0005,0.008,0.1372,0.0498,0.0,0.0244,6666.05,2025-10-19 18:36:20,0.0495
95,115428621882667,当你以为自己是韩剧穿搭出门（路人视角）,4764630,是穗穗念呀,3546982486379292,0,107696,1603,8623,1537,1026,4702,0.095,0.026,0.0018,0,0.0003,0.0073,0.1229,0.0402,0.0,0.0174,6546.35,2025-10-24 18:18:25,0.0431
96,115088849634677,当我家离学校只有2米,5010480,张真严吖,571814627,0,7644,110,8212,2,2,13,1.0887,0.0032,0.0016,0,0.0,0.0833,0.0151,0.0364,0.0,0.0,7986.3,2025-08-25 18:21:38,0.0402
97,517675878,这个洞洞，是干嘛的,5278844,ADANNU520,416566983,0,31793,606,8431,12989,1475,3047,0.2842,0.0086,0.0016,0,0.0025,0.0217,0.0407,0.0355,0.0,0.1329,32302.69,2022-11-16 13:58:10,0.0382
98,115293246522707,网恋需谨慎 #反差 #迪米迦 #生活伙伴服饰,4513727,抖鹰元歌,488583835,0,73344,1324,2841,1079,281,1671,0.0568,0.0176,0.0006,0,0.0002,0.0043,0.0834,0.014,0.0,0.0129,7120.15,2025-09-30 20:30:27,0.0264
99,586587684,Zara今年的衣服绝了，这种请问谁能穿！,11238112,周嘎嘎儿,303713614,0,68637,1723,11226,9245,1910,2217,0.1887,0.0076,0.001,0,0.0008,0.0144,0.0361,0.0222,0.0,0.0444,47851.85,2021-02-06 16:48:20,0.023
100,113379301656070,不是…这雕刻家ooc了吧,6155993,云知笑,251014432,569000,57044,1240,6566,1086,199,679,0.1368,0.0107,0.0011,10.82,0.0002,0.0105,0.0506,0.0237,0.0076,0.0095,15232.51,2024-10-27 20:08:39,0.0228
